ticker,fiscalPeriod,earningsDate,fiscalEndDate,epsActual,epsEstimate,epsReportedActual,epsReportedEstimate,salesActual,salesEstimate,epsAnalysts,epsReportedAnalysts,salesAnalysts
AAPL,2021Q4,2021-10-28T16:30:00,2021-09-30,1.24,1.2388,1.235,1.2388,83360.0,85054.9072,32.0,32.0,28.0
AAPL,2021Q3,2021-07-27T16:30:00,2021-06-30,1.3,1.0107,1.296,1.0107,81434.0,73334.7473,33.0,33.0,28.0
AAPL,2021Q2,2021-04-28T16:30:00,2021-03-31,1.4,0.9864,1.396,0.9864,89584.0,77088.7007,31.0,31.0,28.0
AAPL,2021Q1,2021-01-27T16:30:00,2020-12-31,1.68,1.4115,1.68,,111439.0,103276.4076,,,
AAPL,2020Q4,2020-10-29T16:30:00,2020-09-30,0.73,0.7002,0.734,,64698.0,63699.8424,32.0,32.0,29.0
AAPL,2020Q3,2020-07-30T16:30:00,2020-06-30,0.645,0.5109,0.646,,59685.0,52247.7384,33.0,33.0,29.0
AAPL,2020Q2,2020-04-30T16:30:00,2020-03-31,0.6375,0.5653,0.639,,58313.0,54544.4088,32.0,36.0,30.0
AAPL,2020Q1,2020-01-28T16:30:00,2019-12-31,1.2475,1.1368,1.248,,91819.0,88496.4008,38.0,33.0,33.0
AAPL,2019Q4,2019-10-30T16:30:00,2019-09-30,0.7575,0.7098,0.757,,64040.0,62985.1618,39.0,37.0,35.0
AAPL,2019Q3,2019-07-30T16:30:00,2019-06-30,0.545,0.5245,0.546,,53809.0,53392.1325,37.0,37.0,34.0
AAPL,2019Q2,2019-04-30T16:30:00,2019-03-31,0.615,0.5904,0.615,,58015.0,57372.383,,,
AAPL,2019Q1,2019-01-29T16:30:00,2018-12-31,1.045,1.0417,1.046,,84310.0,83972.0591,,,
AAPL,2018Q4,2018-11-01T16:30:00,2018-09-30,0.7275,0.6958,0.728,,62900.0,61569.8797,,,
AAPL,2018Q3,2018-07-31T16:30:00,2018-06-30,0.585,0.5453,0.585,,53265.0,52335.5947,,,
AAPL,2018Q2,2018-05-01T16:30:00,2018-03-31,0.6825,0.6682,0.683,,61137.0,60815.3158,,,
AAPL,2018Q1,2018-02-01T16:30:00,2017-12-31,0.9725,0.9643,0.973,,88293.0,87356.7341,,,
AAPL,2017Q4,2017-11-02T16:30:00,2017-09-30,0.5175,0.4668,0.518,,52579.0,50699.3299,,,
AAPL,2017Q3,2017-08-01T16:30:00,2017-06-30,0.4175,0.3929,0.418,,45408.0,44885.6143,,,
AAPL,2017Q2,2017-05-02T16:30:00,2017-03-31,0.525,0.505,0.525,,52896.0,53015.7093,,,
AAPL,2017Q1,2017-01-31T16:30:00,2016-12-31,0.84,0.8034,0.84,,78351.0,77249.8549,,,
AAPL,2016Q4,2016-10-25T16:30:00,2016-09-30,0.4175,0.414,0.418,,46852.0,46938.0588,,,
AAPL,2016Q3,2016-07-26T16:30:00,2016-06-30,0.355,0.346,0.355,,42358.0,42087.1192,,,
AAPL,2016Q2,2016-04-26T16:30:00,2016-03-31,0.475,0.4994,0.475,,50557.0,51971.5555,,,
AAPL,2016Q1,2016-01-26T16:30:00,2015-12-31,0.82,0.8068,0.82,,75872.0,76544.0577,,,
AAPL,2015Q4,2015-10-27T16:30:00,2015-09-30,0.49,0.47,,,51501.0,51113.7207,,,
AAPL,2015Q3,2015-07-21T16:30:00,2015-06-30,0.4625,0.4529,,,49605.0,49428.1114,,,
AAPL,2015Q2,2015-04-27T16:30:00,2015-03-31,0.5825,0.5397,,,58010.0,56089.7703,,,
AAPL,2015Q1,2015-01-27T16:30:00,2014-12-31,0.765,0.6505,,,74599.0,67691.2919,,,
AAPL,2014Q4,2014-10-20T16:30:00,2014-09-30,0.355,0.3263,,,42123.0,39877.5167,,,
AAPL,2014Q3,2014-07-22T16:30:00,2014-06-30,0.32,0.3078,,,37432.0,37975.6724,,,
AAPL,2014Q2,2014-04-23T16:30:00,2014-03-31,0.415,0.3641,,,45646.0,43562.8449,,,
AAPL,2014Q1,2014-01-27T16:30:00,2013-12-31,0.5179,0.5024,,,57594.0,57457.1352,,,
AAPL,2013Q4,2013-10-28T16:30:00,2013-09-30,0.295,0.2841,,,37472.0,36926.8509,,,
AAPL,2013Q3,2013-07-23T16:30:00,2013-06-30,0.2668,0.2614,,,35323.0,35016.5213,,,
AAPL,2013Q2,2013-04-23T16:30:00,2013-03-31,0.3604,0.3572,,,43603.0,42333.5321,,,
AAPL,2013Q1,2013-01-23T16:30:00,2012-12-31,0.4932,0.4811,,,54512.0,54733.8517,,,
AAPL,2012Q4,2012-10-25T16:30:00,2012-09-30,0.3096,0.3125,,,35966.0,35802.6987,,,
AAPL,2012Q3,2012-07-24T16:30:00,2012-06-30,0.3329,0.3703,,,35023.0,37209.8732,,,
AAPL,2012Q2,2012-04-24T16:30:00,2012-03-31,0.4393,0.3584,,,39186.0,36808.0488,,,
AAPL,2012Q1,2012-01-24T16:30:00,2011-12-31,0.4954,0.363,,,46333.0,39062.5415,,,
AAPL,2011Q4,2011-10-18T16:30:00,2011-09-30,0.2518,0.2638,,,28270.0,29685.5487,,,
AAPL,2011Q3,2011-07-19T16:30:00,2011-06-30,0.2782,0.2083,,,28571.0,24960.8011,,,
AAPL,2011Q2,2011-04-20T16:30:00,2011-03-31,0.2286,0.1919,,,24667.0,23383.4526,,,
AAPL,2011Q1,2011-01-18T08:30:00,2010-12-31,0.2296,0.193,,,26741.0,24433.0251,,,
AAPL,2010Q4,2010-10-18T16:30:00,2010-09-30,0.1657,0.1457,,,20343.0,18929.4432,,,
AAPL,2010Q3,2010-07-20T16:30:00,2010-06-30,0.1254,0.1113,,,15700.0,14746.2031,,,
AAPL,2010Q2,2010-04-20T16:30:00,2010-03-31,0.1189,0.0874,,,13499.0,12036.3355,,,
AAPL,2010Q1,2010-01-25T16:30:00,2009-12-31,0.1311,0.0748,,,15683.0,12093.392,,,
AAPL,2009Q4,2009-10-19T16:30:00,2009-09-30,0.065,0.051,,,9870.0,9207.147,,,
AAPL,2009Q3,2009-07-21T16:30:00,2009-06-30,0.0482,0.042,,,8337.0,8212.4521,,,
AAPL,2009Q2,2009-04-22T16:30:00,2009-03-31,0.0475,0.039,,,8163.0,7962.8103,,,
AAPL,2009Q1,2009-01-21T16:30:00,2008-12-31,0.0636,0.0496,,,10167.0,9741.508,,,
AAPL,2008Q4,2008-10-21T16:30:00,2008-09-30,0.045,0.0397,,,7895.0,8045.0434,,,
AAPL,2008Q3,2008-07-21T16:30:00,2008-06-30,0.0425,0.0385,,,7464.0,7365.6691,,,
AAPL,2008Q2,2008-04-23T16:30:00,2008-03-31,0.0414,0.0383,,,7512.0,6963.7537,,,
AAPL,2008Q1,2008-01-22T16:30:00,2007-12-31,0.0629,0.0577,,,9608.0,9465.119,,,
AAPL,2007Q4,2007-10-22T16:30:00,2007-09-30,0.0361,0.0306,,,6217.0,6070.6029,,,
AAPL,2007Q3,2007-07-25T16:30:00,2007-06-30,0.0329,0.0259,,,5410.0,5284.9406,,,
