ticker,fiscalPeriod,estimateType,estimateDate,relativeFiscalPeriod,estimates,upRevisions,downRevisions,mean,high,low,price
AAPL,2024Q3,S,2023-08-15T00:00:00,4,23,6,6,88019.6128,91621.0,84456.0879,177.45
AAPL,2024Q3,S,2023-08-16T00:00:00,4,23,5,6,88019.6128,91621.0,84456.0879,176.57
AAPL,2024Q3,S,2023-09-06T00:00:00,4,23,5,6,88019.6272,91621.0,84456.0879,182.91
AAPL,2024Q3,S,2023-09-07T00:00:00,4,23,5,6,88020.2756,91621.0,84456.0,177.56
AAPL,2024Q3,S,2023-09-08T00:00:00,4,23,5,6,88020.2794,91621.0,84456.0879,178.18
AAPL,2024Q3,S,2023-09-12T00:00:00,4,23,5,7,87933.5692,91621.0,84456.0879,176.3
AAPL,2024Q3,S,2023-09-14T00:00:00,4,24,5,7,87628.4204,91621.0,80610.0,175.74
AAPL,2024Q3,S,2023-09-15T00:00:00,4,23,4,7,87533.7078,91621.0,80610.0,175.01
AAPL,2024Q3,S,2023-10-02T00:00:00,4,23,5,6,87649.2322,91621.0,80610.0,173.75
AAPL,2024Q3,S,2023-10-17T00:00:00,4,24,5,6,87676.7642,91621.0,80610.0,177.15
AAPL,2024Q3,S,2023-10-18T00:00:00,4,24,1,1,87676.7642,91621.0,80610.0,175.84
AAPL,2024Q3,S,2023-10-23T00:00:00,4,24,1,1,87676.7838,91621.0,80610.0,173.0
AAPL,2024Q3,S,2023-10-24T00:00:00,4,25,2,1,87402.2878,91621.0,80610.0,173.44
AAPL,2024Q3,S,2023-10-25T00:00:00,4,25,2,1,87428.5678,91621.0,80610.0,171.1
AAPL,2024Q3,S,2023-10-27T00:00:00,4,25,2,4,87132.9486,91621.0,79100.0,168.22
AAPL,2024Q3,S,2023-10-30T00:00:00,4,25,3,5,87093.3409,91621.0,79100.0,170.29
AAPL,2024Q3,S,2023-11-03T00:00:00,3,28,3,15,85640.4054,91122.0,79100.0,176.65
AAPL,2024Q3,S,2023-11-06T00:00:00,3,28,4,15,85671.2667,91122.0,79100.0,179.23
AAPL,2024Q3,S,2023-11-12T00:00:00,3,27,4,15,85469.3877,89479.0,79100.0,186.4
AAPL,2024Q3,S,2023-11-20T00:00:00,3,27,4,15,85469.386,89479.0,79100.0,191.45
AAPL,2024Q3,S,2023-12-12T00:00:00,3,27,4,15,85469.3877,89479.0,79100.0,194.71
AAPL,2024Q3,S,2023-12-13T00:00:00,3,27,4,15,85469.386,89479.0,79100.0,197.96
AAPL,2024Q3,S,2023-12-16T00:00:00,3,27,3,15,85469.386,89479.0,79100.0,197.57
AAPL,2024Q3,S,2023-12-21T00:00:00,3,27,3,15,85426.2378,89479.0,79100.0,194.68
AAPL,2024Q3,S,2024-01-01T00:00:00,3,27,4,14,85462.7119,89479.0,79100.0,192.53
AAPL,2024Q3,S,2024-01-02T00:00:00,3,27,4,14,85462.7193,89479.0,79100.0,185.64
AAPL,2024Q3,S,2024-01-03T00:00:00,3,27,4,14,85462.7119,89479.0,79100.0,184.25
AAPL,2024Q3,S,2024-01-05T00:00:00,3,27,4,14,85466.4897,89479.0,79100.0,181.18
AAPL,2024Q3,S,2024-01-07T00:00:00,3,27,3,14,85466.4897,89479.0,79100.0,181.18
AAPL,2024Q3,S,2024-01-08T00:00:00,3,27,3,15,85344.6099,89479.0,79100.0,185.56
AAPL,2024Q3,S,2024-01-09T00:00:00,3,27,3,15,85344.6081,89479.0,79100.0,185.14
AAPL,2024Q3,S,2024-01-10T00:00:00,3,27,3,13,85344.6081,89479.0,79100.0,186.19
AAPL,2024Q3,S,2024-01-12T00:00:00,3,28,3,13,85391.1935,89479.0,79330.0,185.92
AAPL,2024Q3,S,2024-01-13T00:00:00,3,28,3,12,85391.1935,89479.0,79330.0,185.92
AAPL,2024Q3,S,2024-01-15T00:00:00,3,28,3,12,85391.2035,89479.0,79330.0,185.92
AAPL,2024Q3,S,2024-01-17T00:00:00,3,28,2,2,85394.201,89479.0,79330.0,182.68
AAPL,2024Q3,S,2024-01-18T00:00:00,3,27,3,2,85449.2371,89479.0,79330.0,188.63
AAPL,2024Q3,S,2024-01-20T00:00:00,3,27,2,2,85449.2371,89479.0,79330.0,191.56
AAPL,2024Q3,S,2024-01-22T00:00:00,3,27,2,2,85450.5704,89479.0,79330.0,193.89
AAPL,2024Q3,S,2024-01-24T00:00:00,3,27,2,3,85374.8635,89479.0,79330.0,194.5
AAPL,2024Q3,S,2024-01-30T00:00:00,3,27,2,3,85375.1228,89479.0,79330.0,188.04
AAPL,2024Q3,S,2024-02-02T00:00:00,2,28,3,16,83868.0544,87393.0,79330.0,185.85
AAPL,2024Q3,S,2024-02-06T00:00:00,2,28,3,16,83868.0401,87393.0,79330.0,189.3
AAPL,2024Q3,S,2024-02-08T00:00:00,2,29,3,16,83864.7973,87393.0,79330.0,188.32
AAPL,2024Q3,S,2024-02-11T00:00:00,2,28,3,16,83834.5758,87393.0,79330.0,188.85
AAPL,2024Q3,S,2024-03-04T00:00:00,2,28,3,16,83823.6472,87087.0,79330.0,175.1
AAPL,2024Q3,S,2024-03-08T00:00:00,2,28,3,16,83819.7676,87087.0,79330.0,170.73
AAPL,2024Q3,S,2024-03-11T00:00:00,2,28,3,16,83819.7639,87087.0,79330.0,172.75
AAPL,2024Q3,S,2024-03-15T00:00:00,2,28,3,16,83819.7627,87087.0,79330.0,172.62
AAPL,2024Q3,S,2024-03-16T00:00:00,2,28,2,16,83819.7627,87087.0,79330.0,172.62
AAPL,2024Q3,S,2024-03-20T00:00:00,2,28,2,16,83819.8699,87090.0,79330.0,178.67
AAPL,2024Q3,S,2024-03-23T00:00:00,2,28,2,15,83819.8699,87090.0,79330.0,172.28
AAPL,2024Q3,S,2024-03-27T00:00:00,2,29,2,15,83745.6419,87090.0,79330.0,173.31
AAPL,2024Q3,S,2024-03-28T00:00:00,2,29,2,15,83605.4006,87090.0,75549.0,171.48
AAPL,2024Q3,S,2024-04-05T00:00:00,2,29,2,16,83580.7128,87090.0,75549.0,169.58
AAPL,2024Q3,S,2024-04-08T00:00:00,2,29,2,15,83580.7128,87090.0,75549.0,168.45
AAPL,2024Q3,S,2024-04-10T00:00:00,2,29,2,15,83510.8162,87090.0,75549.0,167.78
AAPL,2024Q3,S,2024-04-11T00:00:00,2,29,2,16,83357.2999,87090.0,75549.0,175.04
AAPL,2024Q3,S,2024-04-12T00:00:00,2,30,2,17,83354.0566,87090.0,75549.0,176.55
AAPL,2024Q3,S,2024-04-15T00:00:00,2,30,2,18,83211.7656,87090.0,75549.0,172.69
AAPL,2024Q3,S,2024-04-16T00:00:00,2,31,2,18,83271.999,87090.0,75549.0,169.38
AAPL,2024Q3,S,2024-04-17T00:00:00,2,31,0,6,83271.999,87090.0,75549.0,168.0
AAPL,2024Q3,S,2024-04-18T00:00:00,2,32,0,6,83403.0928,87467.0,75549.0,167.04
AAPL,2024Q3,S,2024-04-21T00:00:00,2,30,0,6,83438.3323,87467.0,75549.0,165.0
